"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 17:47:17 UTC 2023","Fri Feb 03 17:47:18 UTC 2023","1124","","Verify Add Remove elements","","Verify Add Remove elements","Remove element","Remove element",""
"passed","Fri Feb 03 17:47:16 UTC 2023","Fri Feb 03 17:47:17 UTC 2023","1816","","Basic Auth in modal","","Basic Auth in modal","Login with correct credential","Login with correct credential",""
"passed","Fri Feb 03 17:47:17 UTC 2023","Fri Feb 03 17:47:17 UTC 2023","91","","Verify broken images","","Verify broken images","Verify Title","Verify Title",""
"passed","Fri Feb 03 17:47:17 UTC 2023","Fri Feb 03 17:47:17 UTC 2023","98","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Check h3 header displayed","Check h3 header displayed",""
"passed","Fri Feb 03 17:47:17 UTC 2023","Fri Feb 03 17:47:17 UTC 2023","30","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Verify Add button","Verify Add button",""
"passed","Fri Feb 03 17:47:21 UTC 2023","Fri Feb 03 17:47:21 UTC 2023","79","","Check login page defaults","","Check login page defaults","Verify Footer link","Verify Footer link",""
"passed","Fri Feb 03 17:47:21 UTC 2023","Fri Feb 03 17:47:21 UTC 2023","72","","Check login page defaults","","Check login page defaults","Ispect footer text","Ispect footer text",""
"passed","Fri Feb 03 17:47:17 UTC 2023","Fri Feb 03 17:47:17 UTC 2023","109","","Verify Add Remove elements","","Verify Add Remove elements","Add element","Add element",""
"passed","Fri Feb 03 17:47:21 UTC 2023","Fri Feb 03 17:47:21 UTC 2023","98","","Check login page defaults","","Check login page defaults","Check h2 header displayed","Check h2 header displayed",""
